product_id,sku,product_name,category,brand,unit_price,unit_cost,created_at,is_active,deleted_at
61,SKU-8H6DZH477L,Nova office SUBR,office,Nova,313.42,193.21,2025-07-24T07:59:06,1,
62,SKU-AE2B42OGH9,Krypton home RPS2,home,Krypton,80.09,35.59,2023-04-21T22:51:10,1,
63,SKU-3C4MX1HZV4,Aurea beauty WC4O,beauty,Aurea,307.3,216.1,2025-11-10T12:37:31,1,
64,SKU-1ZV095V0WV,Luna grocery QVQZ,grocery,Luna,457.13,238.06,2023-03-26T03:34:19,1,
65,SKU-HH0IDDIYDJ,Andes home A96D,home,Andes,331.82,234.56,2024-07-29T03:24:04,1,
66,SKU-ZQEXWZPPS3,Orion books 4ZG3,books,Orion,160.62,97.99,2025-11-17T02:09:31,1,
67,SKU-0E5J7TBG6S,Orion books 0G47,books,Orion,268.76,123.47,2023-07-11T16:04:33,1,
68,SKU-U05MHLNZH9,Nexo fashion Y2U7,fashion,Nexo,99.86,74.44,2025-08-01T14:14:53,1,
69,SKU-7I815RC0W2,Nova electronics HHBL,electronics,Nova,290.94,189.79,2025-12-19T03:45:30,1,
70,SKU-PV72ML0P2B,Luna toys NES6,toys,Luna,182.59,85.43,2023-11-25T03:13:52,1,
71,SKU-7GC3C68WE0,Pampa automotive ZHFY,automotive,Pampa,370.37,285.33,2025-03-29T09:02:04,1,
72,SKU-W3HJIYO564,Nova grocery 3WJS,grocery,Nova,135.72,113.66,2023-09-28T22:35:18,1,
73,SKU-2PL7CP7J3S,Aurea home 7S48,home,Aurea,167.38,78.55,2025-12-19T09:05:56,1,
74,SKU-YK2FE6B24V,Senda home 2DMR,home,Senda,70.86,31.59,2025-12-14T09:34:48,1,
75,SKU-WA2ATW2A0G,Krypton sports XUX7,sports,Krypton,280.4,159.74,2023-05-08T13:07:20,1,
76,SKU-IUQNC1ZPQ1,Aurea grocery 8ANA,grocery,Aurea,183.72,144.86,2025-08-02T12:01:31,1,
77,SKU-I5FHF6T31S,Nexo automotive 3ZDS,automotive,Nexo,80.6,43.22,2024-12-08T01:31:10,1,
78,SKU-GI6T4FRUAW,Mares electronics 77DT,electronics,Mares,468.21,306.6,2024-05-01T06:58:04,1,
79,SKU-60X5ANPM6F,Krypton office 5DBT,office,Krypton,298.23,136.76,2025-06-08T09:43:49,1,
80,SKU-U2GK1UT7OY,Luna sports Q2BG,sports,Luna,89.34,52.71,2024-01-16T02:44:46,1,
81,SKU-RZRKTXFVZH,Nova office UW8W,office,Nova,269.82,192.59,2025-10-13T03:49:00,1,
82,SKU-996D2378DN,Nova beauty ZXRO,beauty,Nova,190.53,156.74,2023-09-12T21:10:24,1,
83,SKU-G9LWCC9N8M,Nova sports F5XG,sports,Nova,81.83,45.04,2023-02-13T02:49:43,1,
84,SKU-6BQEGZ6LZW,Orion electronics XHQ0,electronics,Orion,412.47,205.8,2024-11-10T23:02:46,1,
85,SKU-ZFPF36Q8DU,Nova books CVHP,books,Nova,60.9,51.5,2023-10-27T19:43:13,1,
86,SKU-QHVQ7ARAZ8,Aurea electronics 07FH,electronics,Aurea,469.97,200.86,2023-09-16T20:06:20,1,
87,SKU-47G3DIJTU2,Senda beauty K3JH,beauty,Senda,139.5,76.02,2023-03-01T14:59:00,1,
88,SKU-MTZR7TJ5SI,Senda beauty Y185,beauty,Senda,298.79,187.85,2025-01-21T12:02:56,1,
89,SKU-HI9H720LMZ,Andes fashion G5ZY,fashion,Andes,382.08,239.59,2025-04-24T00:40:49,1,
90,SKU-5KWQ9OB5P8,Orion automotive VRMB,automotive,Orion,57.86,41.45,2024-04-10T01:20:44,1,
91,SKU-49JIH3UAL5,Nova electronics PW46,electronics,Nova,371.7,273.67,2025-09-02T12:39:53,1,
92,SKU-7BHXS8SXXU,Nexo fashion HHIH,fashion,Nexo,79.92,41.92,2025-06-15T10:22:38,1,
93,SKU-45P6A6GVDC,Senda automotive NY17,automotive,Senda,350.57,287.51,2023-05-08T10:27:12,1,
94,SKU-HOX8DW09VQ,Aurea beauty 2F0H,beauty,Aurea,277.42,147.93,2023-09-05T20:02:30,1,
95,SKU-FK4U4VLM9Z,Mares beauty SI7R,beauty,Mares,37.39,27.88,2024-07-11T11:56:47,1,
96,SKU-9M7R6ZRJHH,Krypton electronics IGPO,electronics,Krypton,352.69,155.29,2024-02-11T13:15:53,1,
97,SKU-6RMCMXMO92,Nexo home 5OBW,home,Nexo,14.32,10.51,2025-10-05T23:37:16,1,
98,SKU-69TB30667K,Nexo automotive CCWY,automotive,Nexo,15.04,11.1,2025-12-17T21:28:50,1,
99,SKU-PMK7S53TK3,Mares automotive EI2P,automotive,Mares,465.05,335.23,2025-02-11T18:06:25,1,
100,SKU-SG45W31SPF,Senda electronics N143,electronics,Senda,141.9,91.49,2023-01-16T05:11:06,1,
101,SKU-WFXFN6CHM3,Orion books 8U89,books,Orion,403.51,302.25,2023-07-17T04:58:18,1,
102,SKU-9VKXYVY6QJ,Aurea beauty 5RGW,beauty,Aurea,207.17,139.55,2025-10-27T22:53:09,1,
103,SKU-XHB1ZMWPUA,Nexo beauty DU23,beauty,Nexo,377.96,162.36,2024-03-06T04:59:26,1,
104,SKU-Q58XDGTEQZ,Nexo home Y0DD,home,Nexo,118.82,49.85,2024-08-26T00:59:31,1,
105,SKU-STS08GF91C,Senda office S9YC,office,Senda,415.54,293.16,2023-10-21T21:00:32,1,
106,SKU-MAGFBGC66J,Senda electronics DNL5,electronics,Senda,322.01,185.65,2023-08-01T05:29:51,1,
107,SKU-O2T2WB0RWW,Senda sports HIKJ,sports,Senda,191.87,76.78,2025-04-17T17:48:25,1,
108,SKU-762FA3INOT,Senda home X9JX,home,Senda,15.54,12.16,2024-02-22T12:00:42,1,
109,SKU-9NA88WD0NQ,Andes grocery KF02,grocery,Andes,418.46,239.78,2025-11-04T15:02:12,1,
110,SKU-CXXFUHW2XH,Orion grocery N2RJ,grocery,Orion,318.4,143.5,2023-08-02T22:59:40,1,
111,SKU-GW0CHY31EH,Aurea books 4IAB,books,Aurea,252.99,210.61,2025-03-21T19:51:28,1,
112,SKU-Y8O8CKTYOB,Andes office PX15,office,Andes,82.36,52.44,2025-12-23T22:29:18,1,
113,SKU-PUC29EYOHA,Senda toys H60P,toys,Senda,15.27,12.51,2023-11-27T17:47:09,1,
114,SKU-ARWJB6COSM,Mares toys BZZY,toys,Mares,169.68,93.05,2025-10-08T01:29:14,1,
115,SKU-81I34D2SMX,Pampa fashion VXL1,fashion,Pampa,443.04,187.22,2024-03-30T14:27:27,1,
116,SKU-WVIKHJI4RC,Pampa toys KA15,toys,Pampa,34.0,25.36,2024-03-09T13:36:01,1,
117,SKU-1BPU3EUUB5,Aurea automotive AXWC,automotive,Aurea,200.42,138.35,2025-09-15T21:28:58,1,
118,SKU-ZY9YTU81S5,Nova toys 7YXD,toys,Nova,195.57,165.72,2023-11-29T22:41:36,1,
119,SKU-J1EQ6B0AID,Nova grocery 7C50,grocery,Nova,445.54,297.96,2024-06-06T02:32:28,1,
120,SKU-8OLR0VMJPI,Andes home N9W8,home,Andes,196.88,160.9,2023-08-13T11:41:11,1,
121,SKU-CYOVMZ3CBS,Luna electronics FRXM,electronics,Luna,341.74,275.18,2025-07-04T05:49:07,1,
122,SKU-86EBTNCBRD,Aurea automotive HI5A,automotive,Aurea,63.89,28.73,2025-07-07T19:30:58,1,
123,SKU-VEMPLMKLTG,Mares home M2HV,home,Mares,461.6,219.98,2024-09-15T06:25:41,1,
124,SKU-GV7OCQRP8K,Krypton automotive M1YI,automotive,Krypton,379.69,321.55,2024-11-24T11:11:11,1,
125,SKU-15EZMSYTKW,Mares automotive OE99,automotive,Mares,423.8,240.23,2024-04-02T00:25:45,1,
126,SKU-SHXS95WKYS,Pampa books MVVI,books,Pampa,107.19,58.16,2025-08-20T00:19:45,1,
127,SKU-XJWJM80SS8,Pampa office 9Z9D,office,Pampa,297.96,220.04,2023-09-30T23:58:59,1,
128,SKU-1L8PN9YDVJ,Senda office W0IS,office,Senda,388.38,272.26,2024-04-26T19:22:46,1,
129,SKU-ON6QHAEF9F,Pampa home C0XW,home,Pampa,325.85,239.95,2024-08-05T13:57:52,1,
130,SKU-ZGLR8Q7O9V,Krypton toys YDO9,toys,Krypton,130.47,63.78,2023-09-08T13:21:12,1,
131,SKU-EEXORRL5BD,Orion toys ORQ7,toys,Orion,172.26,100.89,2024-03-19T06:33:48,1,
132,SKU-40J18DYK7V,Nexo home DGL7,home,Nexo,303.35,134.72,2023-04-14T16:05:15,1,
133,SKU-59JGPBE2JZ,Mares fashion KKXF,fashion,Mares,256.39,191.47,2026-02-08T09:04:51,1,
134,SKU-V9G1Y7PAN8,Senda home YCTA,home,Senda,438.78,282.86,2026-02-03T16:40:58,1,
135,SKU-XHHNR9K4CH,Senda beauty FMSX,beauty,Senda,480.64,353.12,2023-03-30T13:30:26,1,
136,SKU-G58EALD02P,Orion grocery 9F3V,grocery,Orion,397.64,202.42,2024-12-27T01:41:22,1,
137,SKU-TWSG53GSAZ,Andes toys NAPX,toys,Andes,300.04,139.41,2024-05-13T08:08:41,1,
138,SKU-YD3N8CBJJS,Pampa sports SDQO,sports,Pampa,448.1,303.35,2024-06-21T19:13:46,1,
139,SKU-ISI29X3UZA,Nova home PFN5,home,Nova,193.91,82.45,2023-09-07T23:38:40,1,
140,SKU-5Q0196U733,Pampa fashion 6C1M,fashion,Pampa,52.75,30.31,2025-09-03T21:08:36,1,
141,SKU-Z2Y9H76YSS,Andes automotive 4TI4,automotive,Andes,418.83,245.92,2025-02-13T16:58:34,1,
142,SKU-QOK9JNG6LY,Mares grocery 8BL9,grocery,Mares,61.74,50.38,2025-10-27T03:21:53,1,
143,SKU-REQ0N8S7S3,Mares beauty 6UL7,beauty,Mares,447.62,214.21,2024-11-18T17:33:12,1,
144,SKU-N9CPKVCMWL,Orion automotive 9R1D,automotive,Orion,447.85,289.54,2023-12-01T09:42:05,1,
145,SKU-RTZ9JPNENW,Aurea grocery FFKO,grocery,Aurea,64.31,41.02,2025-05-15T20:20:55,1,
146,SKU-NTBEZI0S6D,Luna sports S3UD,sports,Luna,369.2,217.62,2025-01-28T22:42:25,1,
147,SKU-PRLLTETXL3,Aurea electronics 1SZJ,electronics,Aurea,303.07,179.41,2026-01-16T07:42:42,1,
148,SKU-N685VY1L5Q,Pampa automotive 3NL9,automotive,Pampa,164.26,122.9,2025-01-05T17:35:57,1,
149,SKU-7UW60E4ZPV,Andes grocery 9H11,grocery,Andes,85.28,47.5,2024-08-01T11:44:07,1,
150,SKU-L1LTMY7Q83,Nova office AA38,office,Nova,327.72,212.36,2026-02-07T11:38:52,1,
151,SKU-EB3V7FRTCY,Orion electronics 37E4,electronics,Orion,45.99,21.46,2025-07-15T12:29:23,1,
152,SKU-MNXFJ6HDXD,Nova toys GLFH,toys,Nova,175.78,107.12,2025-09-23T18:25:08,1,
153,SKU-YQCCDJO6PJ,Nova automotive HSVC,automotive,Nova,247.78,206.75,2023-04-25T06:51:08,1,
154,SKU-AG7JOC6FJ9,Orion sports LT2V,sports,Orion,422.99,298.12,2026-01-03T03:57:11,1,
155,SKU-PMJSLDS1FO,Pampa sports GBFA,sports,Pampa,131.32,59.82,2025-03-31T05:24:15,1,
156,SKU-05IS1I5216,Mares sports D50H,sports,Mares,99.48,68.62,2025-03-12T05:59:40,1,
157,SKU-T1CV71D0IX,Pampa office JEWC,office,Pampa,40.64,26.48,2025-03-10T08:43:55,1,
158,SKU-Q689UN51N0,Nexo sports SGFU,sports,Nexo,395.71,275.83,2025-07-17T04:21:23,1,
159,SKU-BWI6HPCWGF,Nova beauty BJID,beauty,Nova,360.73,290.58,2024-06-28T15:05:17,1,
160,SKU-E9IHFR0M26,Luna books Y6RR,books,Luna,90.29,42.51,2025-12-07T23:57:54,1,
161,SKU-EI4UZJBPXV,Krypton automotive NS4Z,automotive,Krypton,476.48,272.19,2024-07-30T15:12:04,1,
162,SKU-RNK2LZNNUT,Krypton toys LRA4,toys,Krypton,152.17,98.95,2023-03-14T17:30:09,1,
163,SKU-CI4YNTCCYY,Luna grocery BGXQ,grocery,Luna,398.4,310.67,2024-06-16T11:38:49,1,
164,SKU-LZ1IRUAHX6,Nova electronics NVWW,electronics,Nova,144.88,60.52,2025-10-16T22:00:16,1,
165,SKU-8WWHSD3CL9,Nexo toys WLNL,toys,Nexo,288.59,243.49,2024-12-01T21:35:24,1,
166,SKU-BB6MFFY2DU,Pampa fashion 9QSV,fashion,Pampa,467.11,194.62,2023-05-28T05:45:04,1,
167,SKU-OP1L2MR4OJ,Nova grocery Y32P,grocery,Nova,157.9,112.81,2024-08-06T13:27:16,1,
168,SKU-UDZUN4G4LK,Nova toys XC2F,toys,Nova,108.58,45.48,2026-01-03T16:14:46,1,
169,SKU-ZEQHJ8PX8Q,Luna office JSS7,office,Luna,99.26,49.77,2024-12-14T17:24:45,1,
170,SKU-83CXA4TI83,Senda fashion 07KS,fashion,Senda,424.72,173.94,2025-07-15T01:49:37,1,
171,SKU-VDHB6ESJZY,Andes toys EI94,toys,Andes,115.21,76.62,2024-07-18T19:56:03,1,
172,SKU-VD4YNH7QKT,Aurea automotive 0U2L,automotive,Aurea,404.51,213.47,2024-01-24T06:37:38,1,
173,SKU-X62P505ZW4,Aurea toys 43D4,toys,Aurea,265.57,220.45,2024-09-09T01:23:07,1,
174,SKU-JC6I9VX8XP,Mares home SZOO,home,Mares,169.81,88.33,2025-05-18T17:59:33,1,
175,SKU-Y8EM0203YV,Pampa sports 4JN1,sports,Pampa,390.52,302.86,2023-02-05T20:21:46,1,
176,SKU-CZ9DRSBG0R,Luna beauty 80MP,beauty,Luna,51.2,30.03,2025-09-24T21:18:06,1,
177,SKU-FK48KZ5TN4,Pampa electronics JDP1,electronics,Pampa,269.94,113.48,2024-01-28T06:27:19,1,
178,SKU-BL2VSFHTWG,Pampa toys V6T0,toys,Pampa,353.88,223.44,2025-04-06T07:54:19,1,
179,SKU-0WXS2XHJ9H,Aurea sports MQQY,sports,Aurea,9.16,5.81,2025-08-10T19:10:25,1,
180,SKU-I9BET4NOPL,Orion automotive 1VHN,automotive,Orion,239.85,122.36,2025-10-27T13:10:12,1,
181,SKU-CTHRAAPIJH,Senda sports GQC8,sports,Senda,159.57,111.43,2024-11-20T07:54:49,1,
182,SKU-1Y3CPPOUR4,Orion beauty 5CLU,beauty,Orion,41.0,29.96,2025-03-23T22:34:34,1,
183,SKU-K1PCBIRAC7,Nova electronics MTI3,electronics,Nova,484.79,267.37,2023-05-12T00:19:49,1,
184,SKU-SC1OA50EB9,Pampa beauty SYDR,beauty,Pampa,36.72,20.55,2024-04-05T08:44:30,1,
185,SKU-SGTAJIK8SQ,Orion books VEL8,books,Orion,397.64,192.72,2023-12-04T11:34:05,1,
186,SKU-XS43X97VJO,Mares books 8NRT,books,Mares,469.7,349.7,2023-12-24T08:19:32,1,
187,SKU-7BH77O94KO,Orion sports 5225,sports,Orion,100.63,77.86,2024-09-22T21:00:08,1,
188,SKU-Q1OFU70RVH,Aurea toys E4YB,toys,Aurea,61.1,28.37,2024-08-08T13:41:01,1,
189,SKU-KSILAQ37Z7,Aurea sports Z4Z3,sports,Aurea,339.46,145.58,2024-05-21T02:23:42,1,
190,SKU-88IBI9N88Y,Orion electronics CKXE,electronics,Orion,262.87,118.26,2024-05-14T10:33:49,1,
191,SKU-BF9KKBSE8Q,Andes books ZNK2,books,Andes,199.06,101.12,2024-12-27T00:03:03,1,
192,SKU-DIBQPODMJH,Aurea home 3HU1,home,Aurea,198.32,88.76,2024-12-22T20:37:53,1,
193,SKU-4JF6QT603F,Nova toys AP38,toys,Nova,56.27,23.7,2023-08-16T03:17:41,1,
194,SKU-WUD0UD1SM7,Andes fashion IEUV,fashion,Andes,262.29,171.67,2024-11-14T17:58:21,1,
195,SKU-JBC07NOBKE,Mares electronics 98LK,electronics,Mares,48.55,27.14,2023-01-04T13:48:34,1,
196,SKU-B32B8120DI,Mares home 9NRH,home,Mares,422.79,258.85,2025-11-10T03:58:33,1,
197,SKU-0VHUH9Y6G8,Senda fashion UOY7,fashion,Senda,254.56,126.68,2024-04-13T00:34:35,1,
198,SKU-MJUGS0MVER,Andes toys MYZD,toys,Andes,449.99,370.56,2023-04-19T06:00:04,1,
199,SKU-VR7CDPJZZ8,Aurea grocery NKD6,grocery,Aurea,168.78,135.01,2024-05-13T18:10:12,1,
200,SKU-OX6SGKBY1J,Luna automotive 5X7H,automotive,Luna,439.05,178.24,2025-12-02T17:42:18,1,
201,SKU-SCCXYCMSVJ,Andes books 37PX,books,Andes,34.54,20.29,2024-06-18T00:48:52,1,
202,SKU-1GFMX7GF4F,Aurea fashion AHAN,fashion,Aurea,63.3,29.91,2023-10-04T05:21:26,1,
203,SKU-GWVW1IXCM0,Aurea electronics NL9N,electronics,Aurea,484.15,224.89,2023-12-20T10:09:14,1,
204,SKU-Z4RK4J6VJC,Pampa fashion 3QZ8,fashion,Pampa,472.65,295.82,2025-10-03T17:38:13,1,
205,SKU-M9QLNZ8888,Krypton electronics DFL4,electronics,Krypton,327.57,132.71,2023-12-09T04:39:44,1,
206,SKU-11J5ULEKNS,Pampa toys 2FIA,toys,Pampa,239.99,135.01,2023-01-24T05:41:04,0,2023-07-06T05:41:04
207,SKU-ZSOHJUY5D4,Senda automotive 4562,automotive,Senda,346.05,269.49,2025-07-30T18:13:47,1,
208,SKU-4WI63WICAU,Orion books PYEH,books,Orion,345.04,265.58,2023-08-08T00:05:21,1,
209,SKU-VAFN927WF1,Luna beauty LIA8,beauty,Luna,36.87,29.54,2023-03-21T22:16:57,1,
210,SKU-T2GQPYJRRG,Aurea home 853A,home,Aurea,65.26,48.24,2023-07-10T01:58:33,1,
211,SKU-NDMTYUZ3D0,Orion office D7A1,office,Orion,284.64,170.18,2024-03-10T21:51:53,1,
212,SKU-PXZ6TPJHCF,Krypton electronics 2U26,electronics,Krypton,191.43,96.87,2024-09-06T18:15:40,1,
213,SKU-6DGQDMWC4I,Luna automotive 60TH,automotive,Luna,460.79,190.13,2023-08-15T08:47:11,1,
214,SKU-S886G400VB,Krypton beauty NFUX,beauty,Krypton,420.06,300.26,2025-01-09T11:58:50,1,
215,SKU-8YDOO2I1TK,Nova home SP5V,home,Nova,366.43,309.12,2024-06-05T01:39:46,1,
216,SKU-TCTXHG3KRW,Mares books OVX5,books,Mares,33.5,24.04,2024-02-26T21:27:52,1,
217,SKU-K0GN5K61E7,Mares home UBW3,home,Mares,348.21,190.15,2023-10-24T00:56:08,1,
218,SKU-XFPZU7RYYK,Senda toys 0F4G,toys,Senda,283.6,232.93,2023-01-31T06:44:25,1,
219,SKU-YHSTBZ01G0,Mares sports 3KGI,sports,Mares,168.92,143.52,2023-09-08T18:10:59,1,
220,SKU-3UF8IEDKR4,Andes home CORL,home,Andes,136.47,70.99,2024-02-10T20:58:21,1,
221,SKU-IRXHQ05JAP,Nexo books 70GY,books,Nexo,429.28,248.3,2023-05-10T04:32:39,1,
222,SKU-0TA7YJP08A,Nexo books VNV7,books,Nexo,434.74,234.24,2024-05-29T16:13:17,1,
223,SKU-OXUNP33M0K,Pampa office SE1H,office,Pampa,199.88,149.5,2025-04-07T09:02:36,1,
224,SKU-7UD9HK9YAC,Mares office VJFO,office,Mares,448.81,190.43,2024-07-09T11:11:41,1,
225,SKU-S35BNCVISR,Nexo electronics UB35,electronics,Nexo,284.89,116.37,2025-11-07T18:17:12,1,
226,SKU-45UUI92QMW,Andes electronics IU5H,electronics,Andes,247.42,122.01,2024-05-02T18:34:03,1,
227,SKU-56LI1GET1M,Nexo electronics WAIE,electronics,Nexo,275.44,223.28,2025-08-16T22:07:33,1,
228,SKU-4268M94M94,Andes beauty SJ8S,beauty,Andes,387.42,270.24,2024-02-03T13:55:18,1,
229,SKU-FJ1FF600M4,Pampa automotive CLM5,automotive,Pampa,6.09,4.66,2024-09-21T19:44:35,1,
230,SKU-LT1J9DY2CN,Mares fashion 1Z5A,fashion,Mares,114.55,55.56,2025-07-20T02:58:53,1,
231,SKU-ISKMCIA67N,Aurea automotive O0QZ,automotive,Aurea,245.23,123.43,2025-07-05T06:48:33,1,
232,SKU-BOTG6CPAQS,Aurea home UB8K,home,Aurea,380.7,319.4,2025-03-16T00:10:30,1,
233,SKU-I73DUQC7HX,Mares books 3BR4,books,Mares,108.37,78.39,2025-06-18T15:01:40,1,
234,SKU-D4GJVNDKKI,Mares office HIBX,office,Mares,333.31,163.17,2025-01-20T13:24:17,1,
